MO  effCR   nrRE      par1      par2     MSE
6 0.500926 7200 10.50872 20.46928 4.616256e-06
6 0.500124 10800 10.53161 22.84623 8.104355e-07
6 0.500463 14400 10.55565 27.62209 5.015419e-06
6 0.555556 144 11.96158 3.954524 0.001217382
6 0.550926 288 11.58852 5.528531 0.000875562
6 0.558642 432 11.66297 6.885329 0.0005245348
6 0.55787 576 11.58075 7.925268 0.0004338167
6 0.557407 720 11.54222 8.801361 0.0003710638
6 0.552778 1440 11.4229 12.41811 0.0002860509
6 0.551389 2880 11.50599 13.92725 0.0001493229
6 0.551852 4320 11.54674 16.38962 1.560781e-05
6 0.550231 5760 11.54791 17.31863 4.392228e-05
6 0.551296 7200 11.50795 18.33803 1.834714e-05
6 0.550494 10800 11.52703 21.06897 1.187415e-06
6 0.550093 14400 11.54121 23.47686 5.93357e-06
6 0.601852 144 12.90038 3.799474 0.001314684
6 0.615741 288 12.87587 5.424742 0.0008177564
6 0.608025 432 12.60378 6.490135 0.000631777
6 0.604167 576 12.50457 7.45796 0.0003833737
6 0.601852 720 12.4224 8.586575 0.0002542213
6 0.60463 1440 12.39275 12.43276 0.0001621697
6 0.603241 2880 12.4764 13.77332 0.0003166819
6 0.601235 4320 12.48776 14.54795 0.0001804077
6 0.600232 5760 12.50117 15.49484 8.054659e-05
6 0.601111 7200 12.53504 17.19854 1.291714e-05
6 0.600494 10800 12.54959 19.7904 2.27582e-05
6 0.600185 14400 12.55519 21.75928 3.282095e-05
6 0.657407 144 13.97203 3.753706 0.001250288
6 0.652778 288 13.59094 5.194669 0.0007213051
6 0.657407 432 13.56306 6.296135 0.0007506646
6 0.659722 576 13.56923 7.27129 0.0006199597
6 0.661111 720 13.58815 8.021003 0.0003583726
6 0.656482 1440 13.41139 11.85586 0.0001719913
6 0.651389 2880 13.43769 12.93724 0.0006647774
6 0.650617 4320 13.45967 13.73537 0.000502931
6 0.650231 5760 13.47543 14.33623 0.0003161454
6 0.65 7200 13.48752 15.38756 0.0001402027
6 0.650864 10800 13.54692 18.42596 5.831321e-05
6 0.650278 14400 13.55371 19.61494 9.613645e-05
6 0.694444 144 14.65885 3.72523 0.0009679049
6 0.689815 288 14.27681 5.108576 0.001093815
6 0.694444 432 14.29979 6.160717 0.0006830634
6 0.696759 576 14.27927 7.29808 0.0003955736
6 0.690741 720 14.13196 8.041656 0.0005293734
6 0.693519 1440 14.12385 11.44084 0.0001165206
6 0.69213 2880 14.20554 13.87667 0.0003518556
6 0.690124 4320 14.2188 14.41559 0.0008396967
6 0.690972 5760 14.25877 14.68847 0.0003420045
6 0.69 7200 14.26874 14.90626 0.0002885477
6 0.69 10800 14.32052 16.98202 3.664189e-05
6 0.690278 14400 14.33499 18.93868 2.038641e-05
6 0.75 144 15.72583 3.649973 0.001408382
6 0.74537 288 15.35727 4.990502 0.0009131249
6 0.743827 432 15.2011 6.277271 0.0008618718
6 0.752315 576 15.33748 7.151401 0.0003838104
6 0.75 720 15.28546 7.75049 0.0003732645
6 0.747222 1440 15.41178 8.718816 0.0007171171
6 0.742593 2880 15.31685 10.71959 0.00051884
6 0.741049 4320 15.30469 12.06476 0.0003639559
6 0.740278 5760 15.29692 12.60785 0.0004542897
6 0.741296 7200 15.32013 13.48141 0.0005514722
6 0.74037 10800 15.28255 14.50334 0.0002746915
6 0.74037 14400 15.3345 14.74988 0.003088644
6 0.805556 144 16.82833 3.603304 0.001203128
6 0.800926 288 16.43632 4.904135 0.0008419946
6 0.805556 432 16.44069 5.947026 0.0008187662
6 0.80787 576 16.41247 6.910659 0.0004868387
6 0.794444 720 16.08629 7.885748 0.0005512918
6 0.791667 1440 16.20627 9.240852 0.0007443734
6 0.790741 2880 16.21479 11.05867 0.0008172959
6 0.790432 4320 16.22095 12.03177 0.0007794722
6 0.790278 5760 16.21098 13.37573 0.001227773
6 0.790185 7200 16.25951 12.02755 0.00142076
6 0.79037 10800 16.31031 12.56486 0.0007861166
6 0.790463 14400 16.34377 13.23619 0.001050243
6 0.861111 144 18.02548 3.449196 0.001570604
6 0.856482 288 17.63307 4.779347 0.001129747
6 0.854938 432 17.49075 5.765839 0.00141785
6 0.863426 576 17.61681 6.492111 0.001050267
6 0.853704 720 17.376 7.223943 0.0006443666
6 0.850926 1440 17.50735 8.278946 0.001171413
6 0.85 2880 17.47693 9.276244 0.003607355
6 0.85216 4320 17.5629 11.22684 0.0008217797
6 0.851389 5760 17.57037 11.52024 0.00114292
6 0.85037 7200 17.60501 10.89345 0.002790074
6 0.850247 10800 17.64042 11.41981 0.002504607
6 0.850185 14400 17.62323 12.02784 0.004007502
6 0.87963 144 18.74732 2.695208 0.009718344
6 0.893518 288 18.61064 4.151405 0.003039671
6 0.87963 432 17.97713 5.833895 0.001009228
6 0.881944 576 17.98153 6.45344 0.0008589287
6 0.883333 720 17.98035 7.286638 0.0007332702
6 0.880556 1440 18.11243 8.247183 0.001205088
6 0.883333 2880 18.14144 10.04001 0.001114644
6 0.88179 4320 18.17509 10.56181 0.001510777
6 0.881019 5760 18.16346 11.72316 0.001819802
6 0.88 7200 18.21888 10.55137 0.002655815
6 0.880864 10800 18.27434 10.72037 0.00286833
6 0.880556 14400 18.24215 11.12553 0.005322575
6 0.935185 144 20.79546 2.31448 0.005592812
6 0.930556 288 19.64014 3.830157 0.003880498
6 0.929012 432 19.35485 5.341681 0.001162686
6 0.9375 576 19.68491 4.515701 0.006648171
6 0.927778 720 19.33313 4.947886 0.0143865
6 0.925 1440 19.54232 4.42058 0.03135655
6 0.92037 2880 19.3458 7.755449 0.00284822
6 0.921296 4320 19.37162 8.706067 0.002800704
6 0.921065 5760 19.46885 7.783727 0.007276051
6 0.92 7200 19.44617 8.332244 0.004591136
6 0.92037 10800 19.49691 8.84875 0.004795444
6 0.920556 14400 19.52431 8.405595 0.005569769
8 0.701389 144 19.5381 3.89453 0.001367258
8 0.697917 288 19.21136 5.597274 0.0007784923
8 0.696759 432 19.12364 6.539454 0.0006615941
8 0.703125 576 19.17796 7.662582 0.0006136413
8 0.695833 720 19.00116 8.696253 0.0002642891
8 0.69375 1440 19.11302 9.87193 0.0007085663
8 0.690278 2880 19.16679 10.46249 0.0004984171
8 0.690972 4320 19.11448 12.8848 0.0002581905
8 0.690799 5760 19.26094 10.83613 0.001478086
8 0.69 7200 19.16622 14.04965 0.0007200039
8 0.690278 10800 19.18682 16.03926 0.001101931
8 0.690417 14400 19.33741 15.63384 0.0005011468
8 0.784722 144 21.45178 3.653781 0.001580054
8 0.78125 288 21.07875 5.266654 0.0008499478
8 0.789352 432 21.18584 6.399659 0.0006694784
8 0.786458 576 21.08831 7.272238 0.0006390561
8 0.784722 720 21.03142 8.13688 0.0005758886
